Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
Ezekiel Elliott,DAL,RB,322,21.5,"1,631",5.1,108.7,15,60T,91,28.3,14,3,5
Jordan Howard,CHI,RB,252,16.8,"1,313",5.2,87.5,6,69,70,27.8,10,2,1
DeMarco Murray,TEN,RB,293,18.3,"1,287",4.4,80.4,9,75T,64,21.8,4,2,3
Jay Ajayi,MIA,RB,260,17.3,"1,272",4.9,84.8,8,62T,60,23.1,10,4,4
Le'Veon Bell,PIT,RB,261,21.8,"1,268",4.9,105.7,7,44,69,26.4,4,1,3
LeSean McCoy,BUF,RB,234,15.6,"1,267",5.4,84.5,13,75T,55,23.5,11,3,3
David Johnson,ARI,RB,293,18.3,"1,239",4.2,77.4,16,58T,72,24.6,6,2,5
LeGarrette Blount,NE,RB,299,18.7,"1,161",3.9,72.6,18,44,67,22.4,7,3,2
Devonta Freeman,ATL,RB,227,14.2,"1,079",4.8,67.4,11,75T,61,26.9,7,2,1
Lamar Miller,HOU,RB,268,19.1,"1,073",4,76.6,5,45,52,19.4,7,1,2
Mark Ingram,NO,RB,205,12.8,"1,043",5.1,65.2,6,75T,49,23.9,4,2,2
Frank Gore,IND,RB,263,16.4,"1,025",3.9,64.1,4,22,50,19,1,0,2
Melvin Gordon,SD,RB,254,19.5,997,3.9,76.7,10,48,61,24,7,3,2
Carlos Hyde,SF,RB,217,16.7,988,4.6,76,6,47,48,22.1,7,2,4
Isaiah Crowell,CLE,RB,198,12.4,952,4.8,59.5,7,85T,45,22.7,8,3,2
Spencer Ware,KC,RB,214,15.3,921,4.3,65.8,3,46,47,22,3,2,3
Todd Gurley,LA,RB,278,17.4,885,3.2,55.3,6,24T,48,17.3,2,0,2
Jeremy Hill,CIN,RB,222,14.8,839,3.8,55.9,9,74T,42,18.9,5,3,0
Jonathan Stewart,CAR,RB,218,16.8,824,3.8,63.4,9,47,47,21.6,6,1,3
Matt Forte,NYJ,RB,218,15.6,813,3.7,58.1,7,32,35,16.1,5,0,1
Latavius Murray,OAK,RB,195,13.9,788,4,56.3,12,42,52,26.7,5,1,2
Terrance West,BAL,RB,193,12.1,774,4,48.4,5,41,35,18.1,5,1,2
Bilal Powell,NYJ,RB,131,8.2,722,5.5,45.1,3,35T,45,34.4,4,0,0
Rob Kelley,WAS,RB,168,11.2,704,4.2,46.9,6,66,29,17.3,4,2,0
Ryan Mathews,PHI,RB,155,11.9,661,4.3,50.8,8,30,38,24.5,6,0,3
Devontae Booker,DEN,RB,174,10.9,612,3.5,38.2,4,18,30,17.2,0,0,2
Rashad Jennings,NYG,RB,181,13.9,593,3.3,45.6,3,25,29,16,3,0,0
Tyrod Taylor,BUF,QB,95,6.3,580,6.1,38.7,6,49,31,32.6,7,1,3
Mike Gillislee,BUF,RB,101,6.7,577,5.7,38.5,8,44T,39,38.6,7,1,0
Jacquizz Rodgers,TB,RB,129,12.9,560,4.3,56,2,45,29,22.5,3,1,0
Tim Hightower,NO,RB,133,8.3,548,4.1,34.2,4,30,32,24.1,4,0,0
Jerick McKinnon,MIN,RB,159,10.6,539,3.4,35.9,2,36,21,13.2,2,0,0
Tevin Coleman,ATL,RB,118,9.1,520,4.4,40,8,55T,24,20.3,5,1,1
Jalen Richard,OAK,RB,83,5.2,491,5.9,30.7,1,75T,14,16.9,5,1,0
Derrick Henry,TEN,RB,110,7.3,490,4.5,32.7,5,22,29,26.4,1,0,0
Colin Kaepernick,SF,QB,69,5.8,468,6.8,39,2,30,28,40.6,3,0,2
DeAndre Washington,OAK,RB,87,6.2,467,5.4,33.4,2,30,19,21.8,7,0,1
T.J. Yeldon,JAX,RB,130,8.7,465,3.6,31,1,16,21,16.2,0,0,2
Matt Jones,WAS,RB,99,14.1,460,4.6,65.7,3,57,28,28.3,3,1,3
Ty Montgomery,GB,RB,77,5.1,457,5.9,30.5,3,61,20,26,5,1,1
Paul Perkins,NYG,RB,112,8,456,4.1,32.6,0,22,22,19.6,2,0,1
Chris Ivory,JAX,RB,117,10.6,439,3.8,39.9,3,42,21,17.9,2,2,5
Darren Sproles,PHI,RB,94,6.3,438,4.7,29.2,2,25T,22,23.4,1,0,0
